id,domain,domain_description,sql_complexity,sql_complexity_description,sql_task_type,sql_task_type_description,sql_prompt,sql_context,sql,sql_explanation
5519,waste management,"Waste generation metrics, recycling rates, landfill capacity data, and circular economy initiatives.",subqueries,"subqueries, including correlated and nested subqueries",analytics and reporting,"generating reports, dashboards, and analytical insights",Identify cities with waste generation above the average for cities in the recycling program.,"CREATE TABLE Cities (CityID INT, CityName VARCHAR(50), WasteGeneration FLOAT); INSERT INTO Cities VALUES (1, 'CityA', 1200), (2, 'CityB', 1800), (3, 'CityC', 1500); CREATE TABLE RecyclingProgram (CityID INT); INSERT INTO RecyclingProgram VALUES (1), (2), (3);","SELECT CityName, WasteGeneration FROM Cities WHERE WasteGeneration > (SELECT AVG(Cities.WasteGeneration) FROM Cities INNER JOIN RecyclingProgram ON Cities.CityID = RecyclingProgram.CityID);","This query identifies cities with waste generation above the average for cities in the recycling program by comparing the WasteGeneration column to the average WasteGeneration for cities in the recycling program, calculated using a subquery and a join between the Cities and RecyclingProgram tables."
5520,tourism,"International visitor statistics, travel advisory information, destination marketing data, and sustainable tourism practices.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",Which destinations have the lowest sustainable tourism ratings in the Middle East in the second half of 2023?,"CREATE TABLE SustainabilityRatings (DestinationID INT, Destination VARCHAR(50), SustainabilityRating INT, Country VARCHAR(50)); INSERT INTO SustainabilityRatings (DestinationID, Destination, SustainabilityRating, Country) VALUES (1, 'Desert Retreat', 2, 'United Arab Emirates'), (2, 'Ancient Ruins', 3, 'Israel'), (3, 'Historic City', 4, 'Turkey');","SELECT Destination, SUM(SustainabilityRating) AS TotalRating FROM SustainabilityRatings WHERE Country = 'United Arab Emirates' OR Country = 'Israel' OR Country = 'Turkey' AND SustainabilityRating < 5 GROUP BY Destination ORDER BY TotalRating ASC;","This query filters the SustainabilityRatings table for destinations in the Middle East with sustainable tourism ratings lower than 5 in the second half of 2023 with the WHERE clause. It groups the results by the destination, calculates the total sustainable tourism rating for each destination, and orders the results in ascending order based on the total rating."
5521,rural development,"Agricultural innovation metrics, rural infrastructure projects, community development initiatives, and economic diversification efforts.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the maximum budget for an agricultural innovation project in the 'rural_infrastructure' table?,"CREATE TABLE rural_infrastructure (id INT, name VARCHAR(50), type VARCHAR(50), budget FLOAT); INSERT INTO rural_infrastructure (id, name, type, budget) VALUES (1, 'Solar Irrigation', 'Agricultural Innovation', 150000.00), (2, 'Wind Turbines', 'Rural Infrastructure', 200000.00), (3, 'Drip Irrigation', 'Agricultural Innovation', 110000.00);",SELECT MAX(budget) FROM rural_infrastructure WHERE type = 'Agricultural Innovation';,This query uses the MAX function to retrieve the maximum budget for an agricultural innovation project from the rural_infrastructure table. The WHERE clause filters the rows based on the type column being 'Agricultural Innovation'. The result is the maximum value of the budget column for all rows that match this condition.
5522,government policy,"Government data on open data initiatives, public participation, evidence-based policy making, and government transparency.",basic SQL,basic SQL with a simple select statement,data manipulation,"inserting, updating, or deleting records",Update the registration date of voter with ID '12345' to '2022-01-01'.,"CREATE TABLE voting_data (voter_id INT, name VARCHAR(100), age INT, state VARCHAR(50), registration_date DATE);",UPDATE voting_data SET registration_date = '2022-01-01' WHERE voter_id = 12345;,This query updates the registration date of the voter with ID '12345' to '2022-01-01' in the 'voting_data' table.
5523,museums,"Visitor demographics, exhibition analytics, community engagement metrics, and digital museum trends.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average visitor count for exhibitions held in each country?,"CREATE TABLE exhibitions (id INT, country VARCHAR(50), visitor_count INT); INSERT INTO exhibitions (id, country, visitor_count) VALUES (1, 'USA', 300), (2, 'Canada', 200), (3, 'Mexico', 100);","SELECT country, AVG(visitor_count) FROM exhibitions GROUP BY country;","This query finds the average visitor count for exhibitions held in each country. It does so by using the AVG() function on the visitor_count column, grouping the data by country using the GROUP BY clause."
5524,artificial intelligence,"AI data on algorithmic fairness, AI safety, explainable AI, and creative AI applications.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the distribution of explainability scores for creative AI algorithms by continent?,"CREATE TABLE creative_ai_algorithm_explainability_scores (issue_id INT PRIMARY KEY, ai_algorithm_id INT, explainability_score FLOAT, continent VARCHAR(255));","SELECT continent, AVG(explainability_score) AS avg_explainability_score FROM creative_ai_algorithm_explainability_scores GROUP BY continent;","This SQL query lists the distribution of explainability scores for creative AI algorithms by continent. It does this by using the GROUP BY clause to group the results by continent, and the AVG function to calculate the average value of the explainability_score column."
5525,precision agriculture,"Precision farming data, satellite imagery analysis, IoT sensor metrics, and agricultural automation trends.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total precipitation in Germany for the current month?,"CREATE TABLE iot_sensors (id INT, location VARCHAR(50), precipitation FLOAT, reading_time TIMESTAMP);","SELECT SUM(precipitation) FROM iot_sensors WHERE location = 'Germany' AND reading_time BETWEEN DATE_FORMAT(NOW(), '%Y-%m-01') AND LAST_DAY(NOW());",This query calculates the total precipitation in Germany for the current month. It filters the data for Germany and the current month using the location and reading_time columns and the WHERE clause. The SUM function is used to calculate the total precipitation.
5526,aquaculture,"Aquatic farming data, fish stock management, ocean health metrics, and sustainable seafood trends.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights","What is the average dissolved oxygen level for each country's aquaculture sites, partitioned by farm type?","CREATE TABLE aquaculture_sites (site_id INT, country VARCHAR(50), farm_type VARCHAR(50), dissolved_oxygen FLOAT); INSERT INTO aquaculture_sites VALUES (1, 'Norway', 'Freshwater', 7.5), (2, 'Norway', 'Marine', 8.2), (3, 'Canada', 'Freshwater', 6.8), (4, 'Canada', 'Marine', 8.0);","SELECT country, farm_type, AVG(dissolved_oxygen) AS avg_dissolved_oxygen FROM aquaculture_sites GROUP BY country, farm_type;",Calculate the average dissolved oxygen level for each unique combination of country and farm type.
5527,disability services,"Comprehensive data on disability accommodations, support programs, policy advocacy, and inclusion efforts in disability services.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",How many students with visual impairments have received accommodations in the last year?,"CREATE TABLE Accommodations (id INT, student VARCHAR(255), date DATE); CREATE TABLE Students (id INT, name VARCHAR(255), age INT, disability VARCHAR(255));","SELECT COUNT(*) FROM Accommodations INNER JOIN Students ON Accommodations.student = Students.id WHERE disability = 'visual impairment' AND date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR);","The SQL query calculates the number of students with visual impairments who have received accommodations in the last year. It joins the Accommodations and Students tables on the student column, filters the records based on the disability and date columns, and then counts the number of records using the COUNT function."
5528,humanitarian aid,"Extensive data on disaster response, refugee support, community development, and advocacy in humanitarian aid.",window functions,"window functions (e.g., ROW_NUMBER, LEAD, LAG, RANk, NTILE, PERCENT_RANK, etc.) with partitioning and ordering",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the running total of donations for each supporter?,"CREATE TABLE donations (id INT, supporter INT, amount FLOAT); INSERT INTO donations (id, supporter, amount) VALUES (1, 1, 50.00), (2, 2, 100.00), (3, 3, 150.00), (4, 4, 200.00);","SELECT supporter, amount, SUM(amount) OVER (ORDER BY supporter) AS running_total FROM donations;",This query retrieves the running total of donations for each supporter by ordering the donations table by supporter and then computing the sum of the amount column using the window function SUM(amount) OVER.
5529,defense operations,"Defense data on military innovation, peacekeeping operations, defense diplomacy, and humanitarian assistance.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights","What is the average number of military personnel in humanitarian assistance operations by country, for countries with more than 200 personnel?","CREATE TABLE HumanitarianAssistanceOperations (id INT, country VARCHAR(50), military_personnel INT);","SELECT country, AVG(military_personnel) FROM HumanitarianAssistanceOperations GROUP BY country HAVING COUNT(*) > 200;","The SQL query calculates the average number of military personnel in humanitarian assistance operations for countries with more than 200 personnel. It starts with a SELECT statement to choose the country and the average military personnel. Then, it uses the GROUP BY clause to group the records by country. Lastly, the HAVING clause is applied to filter countries with more than 200 personnel."
5530,oceans,"Ocean data on marine conservation, ocean acidification, deep-sea exploration, and maritime safety.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total CO2 emissions for each marine conservation project?,"CREATE TABLE conservation_projects (id INT, name VARCHAR(20), co2_emissions INT); INSERT INTO conservation_projects (id, name, co2_emissions) VALUES (1, 'Coral Reef Restoration', 250), (2, 'Mangrove Forest Protection', 180), (3, 'Seagrass Meadows Conservation', 120);","SELECT name, SUM(co2_emissions) FROM conservation_projects GROUP BY name;",The SQL query uses the SUM aggregate function to calculate the total CO2 emissions for each marine conservation project and groups the results by name.
5531,fitness industry,"Workout data, membership demographics, wearable technology metrics, and wellness trends.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the maximum workout duration for users from Brazil?,"CREATE TABLE Workout (user_id INT, workout_duration INT, country VARCHAR(50)); INSERT INTO Workout (user_id, workout_duration, country) VALUES (1, 30, 'Brazil'), (2, 40, 'USA'), (3, 50, 'Brazil'), (4, 60, 'Brazil');",SELECT MAX(workout_duration) FROM Workout WHERE country = 'Brazil';,This query finds the maximum workout duration for users from Brazil by selecting the maximum value of the workout_duration column for rows with the country value as 'Brazil'.
5532,mining operations,"Mining operation data, environmental impact stats, workforce diversity, and resource depletion metrics.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total number of employees from underrepresented communities?,"CREATE TABLE employee (employee_id INT, employee_name TEXT, gender TEXT, ethnicity TEXT); INSERT INTO employee (employee_id, employee_name, gender, ethnicity) VALUES (1, 'John Doe', 'Male', 'Caucasian'), (2, 'Jane Smith', 'Female', 'African American'), (3, 'Alice Johnson', 'Female', 'Hispanic'), (4, 'Bob Brown', 'Male', 'Asian'), (5, 'Emily Davis', 'Female', 'Native American'), (6, 'Michael Lee', 'Male', 'Asian'), (7, 'Jessica Kim', 'Female', 'Asian'), (8, 'David Nguyen', 'Male', 'Asian'), (9, 'Grace Park', 'Female', 'Asian'), (10, 'Daniel Kim', 'Male', 'Asian');","SELECT COUNT(e.employee_id) as total_employees FROM employee e WHERE e.ethnicity IN ('African American', 'Hispanic', 'Native American');","This SQL query counts the number of employees from underrepresented communities by filtering the employee table for employees who are African American, Hispanic, or Native American."
5533,pharmaceuticals,"Clinical trial outcomes, drug approval data, sales figures, R&D expenditures, and market access strategies.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What was the total sales for DrugC in 2016?,"CREATE TABLE PharmaSales (DrugName TEXT, Year INTEGER, Sales INTEGER); INSERT INTO PharmaSales (DrugName, Year, Sales) VALUES ('DrugA', 2015, 5000000); INSERT INTO PharmaSales (DrugName, Year, Sales) VALUES ('DrugA', 2016, 5500000); INSERT INTO PharmaSales (DrugName, Year, Sales) VALUES ('DrugB', 2015, 6000000); INSERT INTO PharmaSales (DrugName, Year, Sales) VALUES ('DrugB', 2016, 6500000); INSERT INTO PharmaSales (DrugName, Year, Sales) VALUES ('DrugC', 2017, 7000000); INSERT INTO PharmaSales (DrugName, Year, Sales) VALUES ('DrugC', 2016, 6000000);",SELECT SUM(Sales) FROM PharmaSales WHERE DrugName = 'DrugC' AND Year = 2016;,Calculate the total sales for DrugC in 2016.
5534,public safety,"Crime statistics, emergency response times, community policing metrics, and disaster preparedness data.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the maximum 911 call volume for each day of the week?,"CREATE TABLE call_volume (cvid INT, call_date DATE, call_count INT, day_of_week VARCHAR(10));","SELECT day_of_week, MAX(call_count) FROM call_volume GROUP BY day_of_week;",Groups the call_volume table by day_of_week and calculates the maximum call count for each day.
5535,water resources,"Water usage metrics, drought impact assessments, wastewater treatment data, and water conservation initiatives.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights","Identify the number of wastewater treatment plants built in each state between 2000 and 2010, excluding California.","CREATE TABLE wastewater_plants(state VARCHAR(20), year INT, num_plants INT); INSERT INTO wastewater_plants VALUES ('California', 2000, 15), ('California', 2001, 17), ('California', 2002, 19), ('Nevada', 2000, 5), ('Nevada', 2001, 6), ('Nevada', 2002, 7), ('Arizona', 2000, 8), ('Arizona', 2001, 9), ('Arizona', 2002, 10);","SELECT state, COUNT(*) FROM wastewater_plants WHERE state != 'California' AND year BETWEEN 2000 AND 2010 GROUP BY state;","The SQL query identifies the number of wastewater treatment plants built in each state between 2000 and 2010, excluding California. It filters the wastewater_plants table for the specified conditions and then groups the data by state, counting the number of plants for each state."
5536,construction,"Building permit data, construction labor statistics, project timeline information, and sustainable building practices.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the maximum construction labor cost per hour in Oregon?,"CREATE TABLE labor_costs (id INT, task VARCHAR(50), cost FLOAT, state VARCHAR(50)); INSERT INTO labor_costs (id, task, cost, state) VALUES (1, 'Concrete Work', 50.00, 'Oregon'); INSERT INTO labor_costs (id, task, cost, state) VALUES (2, 'Electrical Work', 60.50, 'Oregon');",SELECT MAX(cost) FROM labor_costs WHERE state = 'Oregon',"This query retrieves the maximum construction labor cost per hour in Oregon by selecting the cost column from the labor_costs table, filtering the results by the state column with the value 'Oregon', and then applying the MAX aggregate function to the cost column."
5537,entertainment industry,"Audience demographics, viewership trends, content ratings, production budgets, and marketing strategies for movies, TV shows, and music.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",List the top 3 most viewed Animation movies in descending order.,"CREATE TABLE movie (id INT, title VARCHAR(50), genre VARCHAR(20), viewers INT); INSERT INTO movie (id, title, genre, viewers) VALUES (1, 'Movie1', 'Animation', 150000), (2, 'Movie2', 'Action', 250000), (3, 'Movie3', 'Animation', 200000), (4, 'Movie4', 'Drama', 100000), (5, 'Movie5', 'Animation', 220000);",SELECT title FROM movie WHERE genre = 'Animation' ORDER BY viewers DESC LIMIT 3;,This query retrieves the titles of the top 3 most viewed Animation movies in descending order by selecting the title column for movies in the Animation genre and then ordering the results by the viewers column in descending order and limiting the results to the top 3.
5538,oil and gas,"Exploration data, production figures, infrastructure development, and market trends.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the maximum depth for wells in the 'SouthChinaSea' schema?,"CREATE TABLE SouthChinaSea.wells (well_id INT, depth FLOAT); INSERT INTO SouthChinaSea.wells (well_id, depth) VALUES (1, 1200.5), (2, 1800.3), (3, 2050.2);",SELECT MAX(depth) FROM SouthChinaSea.wells;,This query calculates the maximum value of the 'depth' column in the 'wells' table located in the 'SouthChinaSea' schema using the MAX() function.
5539,philanthropy,"Philanthropy data on effective altruism, impact investing, philanthropic trends, and donor demographics.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",How many unique donors are there for each cause?,"CREATE TABLE unique_donors (donor_id INT, cause_id INT); INSERT INTO unique_donors (donor_id, cause_id) VALUES (1, 1), (1, 2), (2, 2), (3, 3), (3, 3), (4, 1);","SELECT cause_id, COUNT(DISTINCT donor_id) AS unique_donors FROM unique_donors GROUP BY cause_id;",This SQL query calculates the number of unique donors for each cause by grouping the cause_id and counting the number of distinct donor_id.
5540,maritime,"Vessel performance data, cargo tracking, safety records, and regulatory compliance.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights","List all the vessels that have a capacity less than 50,000 tons.","CREATE TABLE vessel_capacity (id INT, vessel_id INT, capacity INT);",SELECT v.name FROM vessel_capacity vc JOIN vessel v ON vc.vessel_id = v.id WHERE vc.capacity < 50000;,"This query retrieves the names of vessels that have a capacity less than 50,000 tons. It joins the vessel_capacity table with the vessel table based on the vessel_id. It then filters the results based on the capacity, using the < operator."
5541,space,"Space data on space exploration, satellite technology, space debris mitigation, and astrobiology.",basic SQL,basic SQL with a simple select statement,data manipulation,"inserting, updating, or deleting records",Delete any space missions in Low Earth Orbit (LEO) that have been active for more than 10 years.,"CREATE TABLE leo_missions (id INT, name VARCHAR(50), type VARCHAR(50), orbit VARCHAR(50), years_active INT); INSERT INTO leo_missions (id, name, type, orbit, years_active) VALUES (1, 'Mission1', 'Communication', 'LEO', 8), (2, 'Mission2', 'Observation', 'LEO', 11), (3, 'Mission3', 'Navigation', 'LEO', 9);",DELETE FROM leo_missions WHERE orbit = 'LEO' AND years_active > 10;,Delete records from the leo_missions table where orbit is 'LEO' and years_active is greater than 10.
5542,gaming industry,"Player analytics, game performance metrics, eSports data, and virtual reality trends.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What was the average score of players from Japan in the 'global_tournament' table?,"CREATE TABLE global_tournament (player_id INT, player_name TEXT, score INT, country TEXT);",SELECT AVG(score) as avg_score FROM global_tournament WHERE country = 'Japan';,This query calculates the average score of players from Japan in the 'global_tournament' table. It does this by selecting the average 'score' column value where the 'country' column is equal to 'Japan'.
5543,music,"Detailed records on music creation, distribution, marketing, and consumption patterns across various genres and platforms.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average number of tracks per album for pop artists?,"CREATE TABLE artists (id INT, name VARCHAR(255), genre VARCHAR(255)); CREATE TABLE albums (id INT, artist_id INT, title VARCHAR(255), num_tracks INT); INSERT INTO artists (id, name, genre) VALUES (1, 'Taylor Swift', 'Pop'), (2, 'BTS', 'Pop'), (3, 'Ed Sheeran', 'Pop'); INSERT INTO albums (id, artist_id, title, num_tracks) VALUES (1, 1, 'Lover', 18), (2, 1, 'Fearless', 13), (3, 2, 'BE', 14), (4, 3, 'Divide', 16);",SELECT AVG(num_tracks) FROM albums WHERE genre = 'Pop' GROUP BY artist_id;,"Calculate the average number of tracks per album for pop artists by grouping albums by the artist_id and genre, and then applying the AVG function to the num_tracks column."
5544,retail,"Retail data on circular supply chains, ethical labor practices, product transparency, and consumer education.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the maximum quantity of products that are 'recycled' and 'fair_trade' certified?,"CREATE TABLE products (product_id INT, product_name VARCHAR(255), certification VARCHAR(255), quantity INT);INSERT INTO products VALUES (1,'Product A','recycled',5),(2,'Product B','fair_trade',10),(3,'Product C','organic',15),(4,'Product D','recycled',20),(5,'Product E','fair_trade',25),(6,'Product F','recycled, fair_trade',30);","SELECT MAX(quantity) FROM products WHERE certification IN ('recycled', 'fair_trade') GROUP BY certification HAVING COUNT(DISTINCT certification) = 2",The SQL query calculates the maximum quantity of products that are both 'recycled' and 'fair_trade' certified by using the IN operator to filter the products table based on the certification column and the GROUP BY and HAVING clauses to only consider rows where both certifications are present.
5545,charitable organizations,"Financial data, program impact, donor demographics, and volunteer management.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total amount donated by each donor type in the last quarter?,"CREATE TABLE Donors (DonorID INT, DonorName VARCHAR(50), DonorType VARCHAR(50));  CREATE TABLE Donations (DonationID INT, DonorID INT, DonationAmount DECIMAL(10,2), DonationDate DATE);","SELECT Donors.DonorType, SUM(Donations.DonationAmount) FROM Donors INNER JOIN Donations ON Donors.DonorID = Donations.DonorID WHERE Donations.DonationDate >= DATEADD(quarter, -1, GETDATE()) GROUP BY Donors.DonorType;","This query calculates the total amount donated by each donor type in the last quarter by using the SUM function on the DonationAmount column, filtering the Donations table to only include rows where the DonationDate is within the last quarter, and grouping the results by the DonorType column."
5546,real estate,"Real estate data on inclusive housing policies, sustainable urbanism, property co-ownership, and housing affordability.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",Find the co-owners of a property in the EcoHousing development.,"CREATE TABLE EcoHousing (property_id INT, coowner_name TEXT, units_owned INT); INSERT INTO EcoHousing (property_id, coowner_name, units_owned) VALUES (1, 'John Doe', 2), (1, 'Jane Smith', 3); CREATE TABLE Property (property_id INT, development_name TEXT); INSERT INTO Property (property_id, development_name) VALUES (1, 'EcoHousing');",SELECT coowner_name FROM EcoHousing JOIN Property ON EcoHousing.property_id = Property.property_id WHERE development_name = 'EcoHousing';,"This query first joins the EcoHousing and Property tables on the property_id column. It then filters the results to only include rows where the development_name is 'EcoHousing'. Finally, it selects the coowner_name column to get the names of the co-owners."
5547,rural development,"Agricultural innovation metrics, rural infrastructure projects, community development initiatives, and economic diversification efforts.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Which agricultural innovations were implemented in Guatemala between 2016 and 2019?,"CREATE TABLE agricultural_innovations (innovation_id INT, country TEXT, innovation TEXT, implementation_year INT); INSERT INTO agricultural_innovations (innovation_id, country, innovation, implementation_year) VALUES (1, 'Guatemala', 'Precision agriculture', 2016), (2, 'Guatemala', 'Drip irrigation', 2017), (3, 'Guatemala', 'Vertical farming', 2018), (4, 'Guatemala', 'Automated harvesting', 2019);",SELECT innovation FROM agricultural_innovations WHERE country = 'Guatemala' AND implementation_year BETWEEN 2016 AND 2019;,This query filters the agricultural_innovations table for the records with country as Guatemala and implementation_year between 2016 and 2019 and returns the innovation values.
5548,space,"Space data on space exploration, satellite technology, space debris mitigation, and astrobiology.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Find all space missions with astronauts from multiple countries,"CREATE TABLE missions (mission_name VARCHAR(50), country1 VARCHAR(50), country2 VARCHAR(50)); INSERT INTO missions (mission_name, country1, country2) VALUES ('Apollo-Soyuz Test Project', 'USA', 'Russia'), ('Gemini 12', 'USA', 'None'), ('Shenzhou 5', 'China', 'None');",SELECT mission_name FROM missions WHERE country1 != country2;,"This query selects all missions where the country1 and country2 values are not equal, indicating that astronauts from multiple countries were on the mission."
5549,sports entertainment,"Sports team performance data, fan demographics, ticket sales statistics, and athlete wellbeing programs.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the number of fans from 'Canada' in the 'fans' table?,"CREATE TABLE fans (fan_id INT, name VARCHAR(50), country VARCHAR(50)); INSERT INTO fans (fan_id, name, country) VALUES (1, 'Alice Johnson', 'Canada'); INSERT INTO fans (fan_id, name, country) VALUES (2, 'Bob Smith', 'USA');",SELECT COUNT(*) FROM fans WHERE country = 'Canada';,The SQL query counts the number of fans from Canada by using the COUNT function on all records and filtering the 'country' column with the 'Canada' value.
5550,defense security,"Detailed records on military technology, intelligence operations, national security, and cybersecurity strategies.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights","List all cybersecurity incidents with a severity level above 7 in 2019, ordered by date.","CREATE TABLE cybersecurity_incidents(incident_id INT, incident_date DATE, severity INT); INSERT INTO cybersecurity_incidents(incident_id, incident_date, severity) VALUES (1, '2019-01-01', 8), (2, '2019-05-15', 5), (3, '2019-12-31', 9);",SELECT * FROM cybersecurity_incidents WHERE YEAR(incident_date) = 2019 AND severity > 7 ORDER BY incident_date;,"Retrieve all cybersecurity incidents with a severity level greater than 7 in 2019, ordered by date, by querying the cybersecurity_incidents table."
5551,food services,"Menu engineering, customer preferences, inventory management, and sustainability initiatives.",subqueries,"subqueries, including correlated and nested subqueries",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total cost of ingredients for the 'Falafel Wrap' for the month of June 2022?,"CREATE TABLE Ingredients (ingredient_id INT, ingredient_name TEXT, dish_id INT, cost FLOAT); INSERT INTO Ingredients (ingredient_id, ingredient_name, dish_id, cost) VALUES (1, 'Falafel', 3, 3.0);","SELECT SUM(cost) FROM Ingredients WHERE dish_id IN (SELECT dish_id FROM Dishes WHERE dish_name = 'Falafel Wrap') AND ingredient_name NOT IN ('Hummus', 'Pita Bread');",This query calculates the total cost of ingredients for the 'Falafel Wrap' for June 2022 by summing the 'cost' for all rows with a 'dish_id' corresponding to the 'Falafel Wrap' and excluding the ingredients 'Hummus' and 'Pita Bread'. The subquery identifies the 'dish_id' for the 'Falafel Wrap'.
5552,climate change,"Climate change data on climate mitigation, climate adaptation, climate finance, and climate communication.",subqueries,"subqueries, including correlated and nested subqueries",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total CO2 emission of the top 3 emitting countries in 2020?,"CREATE TABLE Co2Emissions (country VARCHAR(50), year INT, co2_emission FLOAT); INSERT INTO Co2Emissions (country, year, co2_emission) VALUES ('United States', 2020, 5134.3), ('China', 2020, 10458.8), ('India', 2020, 2718.6), ('United States', 2019, 5035.1), ('China', 2019, 10380.6), ('India', 2019, 2648.3);","SELECT SUM(co2_emission) as total_emission FROM (SELECT country, co2_emission FROM Co2Emissions WHERE year = 2020 ORDER BY co2_emission DESC LIMIT 3) t;",The SQL query calculates the total CO2 emission of the top 3 emitting countries in 2020. It uses a subquery to select the top 3 countries with the highest CO2 emission in 2020 and then calculates the total CO2 emission using the SUM function.
5553,arctic research,"In-depth data on climate change, biodiversity, indigenous communities, and resource management in arctic research.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total population of all critically endangered species in the Arctic?,"CREATE TABLE Endangered_Species (ID INT, Name VARCHAR(50), Population INT, Status VARCHAR(50), Region VARCHAR(50)); INSERT INTO Endangered_Species VALUES (1, 'Snowy Owl', 1000, 'Least Concern', 'Arctic'); INSERT INTO Endangered_Species VALUES (2, 'Gyrfalcon', 2000, 'Least Concern', 'Arctic'); INSERT INTO Endangered_Species VALUES (3, 'Peregrine Falcon', 1500, 'Critically Endangered', 'Arctic');",SELECT SUM(Population) FROM Endangered_Species WHERE Status = 'Critically Endangered';,"We filter the records based on the endangerment status. Then, we calculate the sum of the populations for these records to find the total population of all critically endangered species in the Arctic."
5554,energy,"Energy market data covering renewable energy sources, energy storage, carbon pricing, and energy efficiency.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total energy storage capacity for each energy storage technology in the storage table?,"CREATE TABLE storage (id INT, name VARCHAR(50), type VARCHAR(50), capacity INT, location VARCHAR(50));","SELECT type, SUM(capacity) as total_capacity FROM storage GROUP BY type ORDER BY total_capacity DESC;",This query calculates the total energy storage capacity for each energy storage technology in the storage table. It does so by partitioning the data by type and then calculating the sum of the capacity for each partition. The result is ordered by the total capacity in descending order.
